אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש

🏠,05 (שבת),17/10/2026,🏠 Casa Central (Tokyo),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"חזרה לדירה למנוחה ושינה רציפה. (שעה בטוחה לפני הדוחק).

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: ארוחת ערב/בוקר בהכנה עצמאית בדירה או שאריות מהיום.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",מסלול רכבות הפוך: קו Hibiya לתחנת Ebisu והחלפה לקו Keihin-Tohoku חזרה לתחנת Omori.,טוקיו - אומורי,22:15 - 08:30,לינה,,0 ₪,✅ כבר הוזמן (דירת בסיס).,https://www.booking.com/,≈ 40 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Roppongi+Hills+Mori+Tower&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ מנוחה | ✓ Power Bank וכבל



🏎️,06 (ראשון),18/10/2026,STREET KART Tokyo Bay,אטרקציה | אקסטרים,⭐⭐⭐⭐⭐ חובה,"1 Chome-24-6 Kitashinagawa, Shinagawa City",☀️ שמש בלבד,"קרטינג כביש אקסטרימי (Tokyo Bay):

⚠️ דגש קריטי על הרישיון הבינלאומי: יפן מחמירה מאוד ודורשת שהרישיון הבינלאומי (ממכס/ממסי) יהיה בעל תאריך הנפקה של השנה הנוכחית (2026) ולא מסתפקים רק בכך שהתוקף הכללי שלו עתידי!

https://drive.proton.me/urls/VX9QKPTZSW#DZ02dsMRnqcf

• נהיגה מטורפת על כבישי טוקיו הפתוחים וחציית גשר ה-Rainbow Bridge! קרוב מאוד לדירה שלך.

💡 המלצת רכישה: כאן היתרון של Klook / KKday הוא עצום - לאתר הרשמי שלהם יש נטייה להיתקע ולהיות לא ברור, בעוד שהאפליקציות מציגות את השעות הפנויות בבירור באנגלית ומאפשרות ביטול מסודר.

[בוקר רגוע: קום בנחת, התפלל ואכול. יציאה ב-08:50 במדויק והגעה אך ורק ברכבות (להגעה באזור 09:30) למניעת סיכוני פקקים של בוקר - חובה להגיע חצי שעה לפני הזמן].

🍽️ פתרון תזונה יומי: ארוחת בוקר קלה, מסעדת וואגיו כשר בערב!

🥤 שילוב חלבון: שייק חלבון בבוקר לפני היציאה לקארטינג.

[רמת עומס: 🔴 גבוה]

💡 Plan B מזג אוויר/עומס: אם המתקן סגור (גשם/רוח) — מעבר למתקן מקורה סמוך או קיצור הביקור.

🔍 לסינון: אטרקציה / אקסטרים","הגעה אך ורק ברכבת!
מתחנת Omori קח קו JR Keihin-Tohoku ל-Shinagawa והחלף לקו Keikyu לתחנת Kitashinagawa.

[יציאה מומלצת: יציאה יחידה]",טוקיו - מפרץ,10:00 - 12:30,שעתיים וחצי,,"כ-328 ₪","✅ כבר הוזמן ושולם! חובה להביא רישיון בינלאומי ודרכון.","רשמי: https://kart.st/en/
Klook: https://www.klook.com/search/result/?query=STREET%20KART%20Tokyo%20Bay
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=STREET%20KART%20Tokyo%20Bay&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/STREET%20KART%20Tokyo%20Bay
GetYourGuide: https://www.getyourguide.com/s?q=STREET+KART+Tokyo+Bay
Pelago: https://www.pelago.co/en-US/search/?keyword=STREET%20KART%20Tokyo%20Bay",≈ 25 דקות רכבת,https://www.google.com/maps/dir/?api=1&origin=Omori+Station+Tokyo&destination=STREET+KART+Tokyo+Bay,,⚠️ שירותים,✓ רישיון נהיגה ישראלי | ✓ רישיון בינלאומי ממס'י | ✓ דרכון פיזי | ✓ משקפי שמש | ✓ Power Bank וכבל

💡,06 (ראשון),18/10/2026,Panasonic Center Tokyo,טכנולוגיה | חוויה ותצוגה,⭐⭐⭐ אם יש זמן,"Ariake, Koto City, Tokyo",הכל (מקורה),"אולם תצוגה מקיף לטכנולוגיות בית חכם ואוטומציית IoT (השראה לפרויקטים ביתיים).
• הוקדם ליום ראשון כדי למנוע את הסגירה ביום שני! 
• נמצא ממש באזור המפרץ וישתלב מושלם אחרי הקארטינג ולפני אקיהברה.
[רמת עומס: 🟢 קל]. 
💡 Plan B: אם עמוס/סגור — מעבר לאטרקציה מקורה סמוכה.
🍽️ פתרון תזונה: מכוסה בתכנון היומי.
🥤 שילוב חלבון: חטיף חלבון בתיק.
🔍 לסינון: מוזיאון / טכנולוגיה","רכבת מתחנת Shinagawa/Tennozu אל מתחם Ariake (תחנת Kokusai-Tenjijo). [יציאה מומלצת: West Exit]",טוקיו - אודאיבה,13:00 - 15:30,שעתיים וחצי,סגור שני!,חינם,🚶‍♂️ אין צורך להזמין מראש: כניסה חופשית.,https://holdings.panasonic/global/corporate/center-tokyo.html,≈ 40 דקות הליכה ורכבת Rinkai,https://www.google.com/maps/dir/?api=1&origin=STREET+KART+Tokyo+Bay&destination=Panasonic+Center+Tokyo,,⚠️ שירותים,✓ טלפון לקריאת QR קודים בתערוכה | ✓ Power Bank וכבל

🍽️,06 (ראשון),18/10/2026,Maid Cafe Experience (@home cafe Flagship),מסעדה | חוויה תרבותית,⭐⭐⭐⭐ מומלץ,"1-11-4 Sotokanda, Chiyoda City, Tokyo 101-0021",הכל (מקורה),"חווית מייד קפה באקיהברה (@home cafe Flagship):

• בית הקפה המקצועי והטוב ביותר ביפן. תרבות האוטאקו במיטבה, הגשת שתייה, טקסי הפעלת קסמים על האוכל (חילוני לחלוטין).

[רמת עומס: 🟢 קל]

💡 Plan B: אם המקום סגור/יקר/עמוס — קניית מצרכים כשרים בסופר/קומביני והכנה עצמאית בדירה.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל / אטרקציה","נסיעה ברכבת מאזור אודאיבה ישירות לתחנת Akihabara.

[יציאה מומלצת: Electric Town Gate]",טוקיו - אקיהברה,16:15 - 17:15,שעה,,"כ-60 ₪ (~3,200 ¥)",🚶‍♂️ אין צורך בהזמנה מראש: מגיעים ונרשמים בדלפק הכניסה.,https://www.cafe-athome.com/en/,≈ 40 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Miraikan+Tokyo&destination=1-11-4+Sotokanda+Chiyoda+City+Tokyo,,⚠️ שירותים,✓ סמארטפון לצילום (מותר בתנאים מסוימים) | ✓ Power Bank וכבל

💻,06 (ראשון),18/10/2026,Sofmap AKIBA & Janpara,קניות | טכנולוגיה ואלקטרוניקה,⭐⭐⭐⭐⭐ חובה,"4 Chome-1-1 Sotokanda, Chiyoda City, Tokyo",הכל (מקורה),"שופינג טכנולוגי באקיהברה:

• זמן המוקדש לשופינג חומרה ורכיבי PC קצה, כרטיסי מסך RTX וגאדג'טים יד-שנייה.

[רמת עומס: 🔴 גבוה - הליכה מרובה בין חנויות].

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / טכנולוגיה",הליכה קצרה ברחובות האחוריים של אקיהברה.,טוקיו - אקיהברה,17:15 - 18:45,שעה וחצי,,"כניסה: 0₪ | קניות (אופציונלי): כ-370 ₪ (~20,000 ¥)",🚶‍♂️ אין צורך בהזמנה מראש: הצג דרכון בקופה לפטור ממס (Tax-Free).,https://www.sofmap.com/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=1-11-4+Sotokanda+Chiyoda+City+Tokyo&destination=Sofmap+AKIBA,,⚠️ שירותים,✓ דרכון פיזי (חובה ל-Tax Free) | ✓ כרטיס אשראי | ✓ Power Bank וכבל

🕹️,06 (ראשון),18/10/2026,GiGO Akihabara 3,אטרקציה | ארקייד,⭐⭐⭐⭐ מומלץ,"1 Chome-1-11 Sotokanda, Chiyoda City, Tokyo",הכל (מקורה),"בניין GiGO:

• מתחמי ארקייד, סימולטורים ומנופי בובות ענקיים באקיהברה.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לאטרקציה מקורה סמוכה או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק שעשועים / אטרקציה",הליכה קצרה על הרחוב הראשי של אקיהברה.,טוקיו - אקיהברה,18:45 - 20:00,שעה וחצי,,"כ-55 ₪ (~3,000 ¥)",🚶‍♂️ הפעלת מכונות באמצעות מטבעות 100 ין.,https://tempo.gendago.jp/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Sofmap+AKIBA&destination=GiGO+Akihabara+3,,⚠️ שירותים,✓ מטבעות 100 ין או שטרות לפריטה | ✓ Power Bank וכבל

🍽️,06 (ראשון),18/10/2026,Kosher Wagyu Tokyo (Chabad),מסעדה | אוכל כשר (בשרים),⭐⭐⭐⭐⭐ חובה,"1-25-18 Sanno, Ota-ku, Tokyo 143-0023",הכל (מקורה),"ארוחת ערב בקר וואגיו כשר (Kosher Wagyu) בבית חב'ד טוקיו! 

• חווית בשרים איכותית לסיום יום עמוס באקיהברה. במקום לבשל בדירה, מגישים אוכל פה. שולב בהצלחה מתוך האופציות!

💡 חלופה זולה (Plan B): למקרה שזה יקר מדי ולא תרצה לאכול שם, ניתן להזמין מנה זולה ופשוטה יותר בחב'ד מראש, או לעבור בסופרמרקט לפני הדירה ולקנות מצרכים לארוחת ערב עצמאית.

🍽️ פתרון תזונה יומי: מסעדת וואגיו כשר פה.

🥤 שילוב חלבון: שייק חלבון לאחר הארוחה להשלמה.

[רמת עומס: 🟢 קל]

🔍 לסינון: מסעדה / אוכל",רכבת מתחנת Akihabara (קו Keihin-Tohoku) לתחנת Omori והליכה קצרה לחב'ד.,טוקיו - אומורי,20:45 - 22:00,שעה ורבע,,"כ-250 ₪ (~13,500 ¥)","🚨 חובה להזמין מראש דרך בית חב'ד (כשבועיים מראש, סביב 04/10/2026) ולציין Kosher Wagyu. ⏰ התראה: קבע תזכורת להזמנה ב-04/10/2026 + תזכורת הכנה יום לפני (03/10/2026) — לוודא אמצעי תשלום, פרטים וזמינות.
.",https://chabad.jp/,≈ 35 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Akihabara+Station&destination=Chabad+Tokyo,,⚠️ שירותים,✓ תיאום מראש קריטי עם חב'ד | ✓ Power Bank וכבל

🏠,06 (ראשון),18/10/2026,🏠 Casa Central (Tokyo),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo",הכל (מקורה),"חזרה לדירה למנוחה ושינה לאחר ארוחת הוואגיו הכשרה והמפנקת.

• שעה מושלמת לחזרה הביתה ללא דוחק בתחנות.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: ארוחת ערב/בוקר בהכנה עצמאית בדירה או שאריות מהיום.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",הליכה קצרה מבית חב'ד אל הדירה שלך באומורי.,טוקיו - אומורי,22:15 - 08:30,לינה,,0 ₪,✅ כבר הוזמן (בסיס קבוע בטוקיו).,https://www.booking.com/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Chabad+Tokyo&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ מנוחה לקראת מחר | ✓ Power Bank וכבל




🛍️,07 (שני),19/10/2026,איסוף מדרסים (Minami-Aoyama),לוגיסטיקה | רפואי,⭐⭐⭐⭐⭐ חובה,"1F Kokko Real Estate Minami-Aoyama Bldg, 2-27-7 Minami-Aoyama, Minato City, Tokyo 107-0062",הכל (מקורה),"איסוף הציוד הרפואי (מדרסים מותאמים אישית מ-SIDAS):

• מאחר והזמנת אותם ביום ה-3 לטיול (חמישי), עברו 4 ימים ויש להם מספיק זמן לסיים אותם.

[בוקר מוקדם ורגוע: תפילה, ארוחה קלה, יציאה באזור 09:00 לדילוג על העומס ולמען מרווח ביטחון להמשך היום].

🍽️ פתרון תזונה יומי: מזון שהוכן מראש/נרכש בערב.

🥤 שילוב חלבון: שייק חלבון בבוקר לפני היציאה.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם הדלפק סגור/עמוס — ביצוע הפעולה בקומביני או דלפק חלופי סמוך.

🔍 לסינון: לוגיסטיקה / רפואי","קו Keihin-Tohoku לשינגאווה, והחלפה ל-Yamanote לתחנת Omotesando. הליכה מתחנת Omotesando.

[יציאה מומלצת: תחנת Omotesando יציאה A4]",טוקיו - אאויאמה,09:45 - 10:30,45 דקות,,שולם ביום ה-3,🚶‍♂️ איסוף מהיר בקופות עם הקבלה מיום 03.,https://shop.sidas.co.jp/fitting-lab/eng/,≈ 45 דקות ברכבת מאומורי,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=1F+Kokko+Real+Estate+Minami-Aoyama+Bldg,,⚠️ שירותים,✓ קבלה על הרכישה | ✓ דרכון | ✓ Power Bank וכבל

🚗,07 (שני),19/10/2026,Nissan Crossing & Sony Store,טכנולוגיה | חוויה ותצוגה,⭐⭐⭐ אם יש זמן,"5 Chome-8-1 Ginza, Chuo City, Tokyo",הכל (מקורה),"טכנולוגיה בגינזה:

• תצוגת הרכבים העתידנית של ניסאן וטכנולוגיות צילום מתקדמות של סוני. עצירה ממוזגת ונעימה על הדרך למזח!

💡 Plan B:
מקום סגור, אפשר להעביר כאן זמן רגוע בבית הקפה שבקומה השנייה.

🍫 שילוב חלבון: אכילת חטיף חלבון באזור המנוחה פה.

[רמת עומס: 🟢 קל]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🔍 לסינון: אטרקציה / טכנולוגיה","נסיעה קצרה מתחנת Omotesando על קו תחתית Ginza Line ישירות לתחנת Ginza.

[יציאה מומלצת: תחנת Ginza יציאה A4]

[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - גינזה,11:00 - 12:00,שעה,,חינם,🚶‍♂️ אין צורך בהזמנה מראש: כניסה חופשית.,https://www3.nissan.co.jp/crossing/en.html,≈ 30 דקות (תחתית + הליכה),https://www.google.com/maps/dir/?api=1&origin=1F+Kokko+Real+Estate+Minami-Aoyama+Bldg&destination=Nissan+Crossing+Tokyo,,⚠️ שירותים,✓ מצלמה / טלפון טעון | ✓ כרטיס אשראי לקפה | ✓ Power Bank וכבל

🚤,07 (שני),19/10/2026,Tokyo Water Bus (Suijobus),תחבורה | שייט,⭐⭐⭐⭐ מומלץ,"Hinode Pier, Minato City, Tokyo",☀️ שמש / ☁️ מעונן,"שייט עתידני במפרץ טוקיו!

• ירידה קצרה למזח Hinode ושייט כיפי במסלול ישיר לאודאיבה (Odaiba Marine Park).
• מסלול זה מוריד אותך בדיוק בנקודה המושלמת להתחיל את יום אודאיבה!

💡 Plan B גשם/ערפל: אם השייט מבוטל בגלל מזג אוויר, קח רכבת תחתית ישירה מגינזה לתחנת Daiba (דרך Shimbashi).

💡 המלצת רכישה: עדיף להזמין דרך Klook כדי לצבור נקודות וליהנות מממשק אנגלית חלק, אך האתר הרשמי מציג את השעות בצורה המדויקת ביותר.

[רמת עומס: 🟡 בינוני]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: תחבורה / אטרקציה","רכבת מתחנת גינזה עד ל-Hamamatsucho והליכה למזח Hinode.

[הנחיית שיט: ❌ כרטיס IC לא תופס, דורש כרטיס שיט מודפס מהאתר]",טוקיו - מים,13:00 - 14:00,שעה,,"כ-25 ₪ (~1,350 ¥)","🚨 מומלץ להזמין מראש: החל מ-19/09/2026. שריון של מספר ימים מראש מספיק בד""כ למסלול זה.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 19/09/2026 + תזכורת הכנה יום לפני.",https://www.suijobus.co.jp/en/,≈ 25 דקות (רכבת והליכה למזח),https://www.google.com/maps/dir/?api=1&origin=Nissan+Crossing+Tokyo&destination=Hinode+Pier,,⚠️ שירותים,✓ כרטיס שייט מודפס או בטלפון | ✓ משקפי שמש | ✓ Power Bank וכבל

🤖,07 (שני),19/10/2026,Miraikan (Museum of Emerging Science),מוזיאון | טכנולוגיה ומדע,⭐⭐⭐ אם יש זמן,"2 Chome-3-6 Aomi, Koto City, Tokyo",הכל (מקורה),"מיראיקאן - מוזיאון החדשנות והמדע:

• נדחה ליום שני מכיוון שהוא פתוח ביום זה (סגור בשלישי). 
• הסירה הורידה אותך בדיוק באזור הזה באודאיבה. אתה מתחיל איתו כי הוא נסגר ב-17:00!

💡 Plan B גשם: מקורה לחלוטין.

🍫 שילוב חלבון: חטיף חלבון כאן במהלך הסיור.

[רמת עומס: 🟡 בינוני]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🔍 לסינון: מוזיאון / טכנולוגיה","הליכה קצרה מתחנת הירידה של הסירה באודאיבה אל המוזיאון (כ-10 דקות).",טוקיו - אודאיבה,14:15 - 16:15,שעתיים,סגור בשלישי!,"18 ₪ (~1,000 ¥)",🚶‍♂️ אין צורך להזמין מראש: קניית כרטיס בקופה במקום.,https://www.miraikan.jst.go.jp/en/,≈ 15 דקות הליכה מהמזח,https://www.google.com/maps/dir/?api=1&origin=Odaiba+Marine+Park+Pier&destination=Miraikan+Tokyo,,⚠️ שירותים,✓ נעלי הליכה | ✓ מזומן / כרטיס אשראי | ✓ Power Bank וכבל

🎢,07 (שני),19/10/2026,Tokyo Joypolis,אטרקציה | פארק שעשועים מקורה,⭐⭐⭐⭐⭐ חובה,"1 Chome-6-1 Daiba, Minato City, Tokyo",הכל (מקורה),"פארק שעשועים מקורה ענק של SEGA:

• משחקי מציאות מדומה חופשית, סימולטורים ומתחמי סוניק. שיא האנרגיה ביום האחרון שלך בטוקיו!

💡 המלצת רכישה: אל תקנה באתר הרשמי! ב-Klook, Trip ו-KKday מקבלים הנחות קבועות של כ-15-20% על 'Passport' (כניסה חופשית למתקנים). הקוד נסרק ישירות בכניסה.

[רמת עומס: 🔴 גבוה]

💡 Plan B מזג אוויר/עומס: אם עמוס מדי או חסום, דלג ישירות ל-teamLab (שממילא הבא בתור) או ערוך סיבוב קניות קצר בקניון DECKS הסמוך עד התפנות תורים.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק שעשועים / אטרקציה","קח את הרכבת העילית הנופית Yurikamome אל תחנת Odaiba-Kaihinkoen.

[יציאה מומלצת: North Exit]

[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - אודאיבה,16:30 - 18:45,שעתיים ורבע,,"120 ₪ (~6,500 ¥)","🚨 מומלץ להזמין מראש: ניתן לרכוש תמיד, רצוי כשבוע לפני כדי להבטיח את ההנחה באפליקציות.
⏰ התראה: קבע תזכורת להזמנה ב-12/10/2026 (שבוע מראש) + תזכורת הכנה יום לפני (11/10/2026) — לוודא אמצעי תשלום, פרטים וזמינות.
","רשמי: https://tokyo-joypolis.com/language/english/
Klook: https://www.klook.com/search/result/?query=Tokyo%20Joypolis
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Tokyo%20Joypolis&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Tokyo%20Joypolis
GetYourGuide: https://www.getyourguide.com/s?q=Tokyo+Joypolis
Pelago: https://www.pelago.co/en-US/search/?keyword=Tokyo%20Joypolis",≈ 15 דקות נסיעה ב-Yurikamome,https://www.google.com/maps/dir/?api=1&origin=Panasonic+Center+Tokyo&destination=Tokyo+Joypolis,,⚠️ שירותים,✓ בגדים נוחים לסימולטורים | ✓ נעליים סגורות | ✓ כרטיס IC | ✓ Power Bank וכבל

🔮,07 (שני),19/10/2026,teamLab Planets TOKYO DMM,אטרקציה | אמנות דיגיטלית,⭐⭐⭐⭐⭐ חובה,"6 Chome-1-16 Toyosu, Koto City, Tokyo",הכל (מקורה),"מוזיאון האמנות הדיגיטלית teamLab Planets:

• חוויה חושית מדהימה הכוללת הליכה יחפה במים עד הברכיים ואינטראקציה עם מיצגי אור מטורפים. הסירה הורידה אותך בדיוק באזור זה!

💡 המלצת רכישה: מומלץ מאוד לקנות ב-Klook או KKday! לעתים קרובות יש להם קודי קופון ליפן שיוזילו את המחיר, והכרטיס נשמר ישירות באפליקציה כ-QR קוד נוח לסריקה.

[רמת עומס יומית משולבת: 🔴 גבוה].

💡 Plan B: התערוכה מקורה ומוגנת; אם עמוס — כניסה בשעת השובר המדויקת בלבד.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מוזיאון / אטרקציה","הליכה קצרה מתחנת העגינה בטויסו (או נסיעה של תחנה אחת בקו הרכבת העילית Yurikamome) אל המוזיאון.

[יציאה מומלצת: תחנת Shin-Toyosu יציאה יחידה]

[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - טויסו,19:15 - 21:15,שעתיים ,,"105 ₪ (~5,523 ¥)","🚨 חובה להזמין מראש: המכירה נפתחת כחודשיים-שלושה מראש (אמצע יולי - תחילת אוגוסט 2026). כרטיסים נחטפים, שריין ברגע שנפתח!
⏰ התראה: קבע תזכורת ליום פתיחת ההזמנות 19/07/2026 + תזכורת הכנה יום לפני (18/07/2026) — לוודא אמצעי תשלום, פרטים וזמינות.
","רשמי: https://teamlabplanets.dmm.com/en
Klook: https://www.klook.com/search/result/?query=teamLab%20Planets%20TOKYO
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=teamLab%20Planets%20TOKYO&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/teamLab%20Planets%20TOKYO
GetYourGuide: https://www.getyourguide.com/s?q=teamLab+Planets+TOKYO
Pelago: https://www.pelago.co/en-US/search/?keyword=teamLab%20Planets%20TOKYO",≈ 40 דקות שייט בסירה,https://www.google.com/maps/dir/?api=1&origin=Hinode+Pier&destination=teamLab+Planets+TOKYO+DMM,,⚠️ שירותים,✓ מכנסיים שאפשר לקפל מעל הברך | ✓ נעליים שקל לחלוץ | ✓ Power Bank וכבל


🍽️,07 (שני),19/10/2026,LIFE Omori Store,קניות | סופרמרקט,⭐⭐⭐⭐ מומלץ,"2 Chome-2-20 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"סופרמרקט ענק (LIFE):

• הצטיידות קריטית במצרכי אוכל כשרים, פירות, מים וחטיפים לקראת היציאה מהעיר וההגעה להאקונה מחר בבוקר.

💡 קניית מוצרים לארוחת הערב להכנה בדירה עכשיו לפני האריזות (אם עדיין לא אכלת מספיק מהשאריות).

[רמת עומס: 🟢 קל]

💡 Plan B: אם סגור — קומביני חלופי סמוך (רובם פתוחים 24/7).

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / סופרמרקט / אוכל","מיקום צמוד לחלוטין לתחנת Omori ולדירה שלך, מרחק הליכה של 3 דקות.",טוקיו - אומורי,22:00 - 22:45,45 דקות,,"כניסה: 0₪ | קניות (אופציונלי): כ-92 ₪ (~5,000 ¥)",🚶‍♂️ אין צורך להזמין מראש: קניות חופשי.,http://www.lifecorp.jp/,≈ 45 דקות חזרה לאומורי,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Joypolis&destination=Life+Omori,,⚠️ שירותים,✓ שקית רב פעמית לקניות | ✓ Power Bank וכבל

🏠,07 (שני),19/10/2026,🏠 Casa Central (Tokyo),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"לילה אחרון בדירת טוקיו (קאזה סנטרל):

• בישול ארוחת ערב, שטיפת הסירים ואריזתם בתוך המזוודה הגדולה! 
• ארגון תיק הגב הקטן שישמש אותך ביומיים הקרובים להאקונה ונאגויה.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: ארוחת ערב/בוקר בהכנה עצמאית בדירה או שאריות מהיום.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",הליכה קצרה מהסופרמרקט בחזרה לדירה.,טוקיו - אומורי,22:45 - 08:30,מנוחה והתארגנות,,0 ₪,✅ כבר הוזמן מראש (צ'ק-אאוט מלא מחר בבוקר).,https://www.booking.com/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Life+Omori&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ מצרכים לארוחת ערב | ✓ Power Bank וכבל

