אייקון,יום,תאריך,שם המקום,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש
👗,06 (ראשון),18/10/2026,Takeshita St,⭐⭐⭐⭐ מומלץ,"1 Chome-19 Jingumae, Shibuya City, Tokyo 150-0001, Japan",☀️ שמש / ☁️ מעונן,"רחוב טקשיטה האייקוני בהרג'וקו:
• רחוב אופנת הרחוב והקיטש הקיצוני ביפן.

💡 Plan B עייפות:
אם צפוף מדי ביום ראשון, חתוך מיד לרחוב הצידי הרגוע Takeshita Backstreets.",צמוד לחלוטין ליציאה המזרחית מתחנת Harajuku.,טוקיו - הרג'וקו,09:30 - 10:30,שעה,,חינם,**🚶‍♂️ אין צורך בהזמנה מראש.**,https://www.japan-guide.com/e/e3006.html,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=2-1+Yoyogikamizonocho+Shibuya+City+Tokyo&destination=1+Chome-19+Jingumae+Shibuya+City+Tokyo,,⚠️ שירותים,✓ מזומן קטן לחטיפי רחוב
🧥,06 (ראשון),18/10/2026,2nd STREET Harajuku,⭐⭐⭐ אם יש זמן,"4 Chome-26-4 Jingumae, Shibuya City, Tokyo 150-0001, Japan",הכל (מקורה),"חנות אופנה וינטג' (2nd STREET):
• חנות מעולה למציאת בגדי מותגים ופרטי אופנה במצב חדש ובמחירים מעולים.",הליכה קצרה של 5 דקות מרחוב טקשיטה פנימה.,טוקיו - הרג'וקו,10:30 - 11:30,שעה,,לפי קנייה,**🚶‍♂️ הצג דרכון פיזי בקופה לפטור ממס (Tax-Free).**,https://www.2ndstreet.jp/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=1+Chome-19+Jingumae+Shibuya+City+Tokyo&destination=4+Chome-26-4+Jingumae+Shibuya+City+Tokyo,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ דרכון פיזי | ✓ כרטיס אשראי
📱,06 (ראשון),18/10/2026,Galaxy Harajuku,⭐⭐⭐ אם יש זמן,"1 Chome-8-9 Jingumae, Shibuya City, Tokyo 150-0001, Japan",הכל (מקורה),"בניין הקונספט הטכנולוגי של סמסונג גלקסי:
• התנסויות מציאות מדומה (VR), מיצגי מדיה אינטראקטיביים הכל בחינם.",הליכה קצרה של 4 דקות על שדרת אומוטסנדו המרכזית.,טוקיו - הרג'וקו,11:30 - 12:15,45 דקות,,חינם,**🚶‍♂️ כניסה חופשית לקומות התצוגה.**,https://www.samsung.com/jp/explore/galaxy-harajuku/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=4+Chome-26-4+Jingumae+Shibuya+City+Tokyo&destination=1+Chome-8-9+Jingumae+Shibuya+City+Tokyo,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ סקרנות טכנולוגית
👟,06 (ראשון),18/10/2026,SIDAS FITTING LAB (Minami-Aoyama),⭐⭐⭐⭐⭐ חובה,"1F Kokko Real Estate Minami-Aoyama Bldg, 2-27-7 Minami-Aoyama, Minato City, Tokyo 107-0062, Japan",הכל (מקורה),"מעבדת התאמת מדרסים אורתופדיים (SIDAS):
• מעבדה רפואית מתקדמת להתאמה אישית של מדרסי ואקום להגנה על הגב.

[מרווח ביטחון: הגעה 10 דקות לפני הזמן!].","הליכה נוחה מגלקסי הארז'וקו לאורך שדרת אומוטסנדו לכיוון אאויאמה (כ-15 דקות הליכה).
[יציאה מומלצת: תחנת Omotesando יציאה A4]",טוקיו - אאויאמה,12:30 - 13:45,שעה ורבע,,לפי קנייה,**🚨 חובה להזמין מראש: תור מוגדר מראש באתר הרשמי!**,https://shop.sidas.co.jp/fitting-lab/eng/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=1+Chome-8-9+Jingumae+Shibuya+City+Tokyo&destination=1F+Kokko+Real+Estate+Minami-Aoyama+Bldg,,⚠️ שירותים,✓ גרביים נוחות למדידה | ✓ הגעה 10 דק' לפני הזמן!
🚶,06 (ראשון),18/10/2026,Shibuya Crossing,⭐⭐⭐⭐⭐ חובה,"2 Chome-2-1 Dogenzaka, Shibuya City, Tokyo 150-0043, Japan",☀️ שמש / ☁️ מעונן,"מעבר החצייה המפורסם בשיבויה (Shibuya Scramble):
• צעידה חווייתית בתוך נחיל האדם, צילום האורות ושלטי הניאון הענקיים.","הליכה דרומה מאזור אאויאמה למטה אל מרכז שיבויה (כ-15 דקות הליכה).
[יציאה מומלצת: תחנת Shibuya - Hachiko Exit]",טוקיו - שיבויה,14:15 - 15:00,45 דקות,,חינם,**🚶‍♂️ אין צורך בהזמנה מראש.**,https://www.japan-guide.com/e/e3007.html,≈ 20 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=1F+Kokko+Real+Estate+Minami-Aoyama+Bldg&destination=2+Chome-2-1+Dogenzaka+Shibuya+City+Tokyo,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ מצלמה מוכנה מראש לתפיסת האקשן
🛍️👀,06 (ראשון),18/10/2026,Shibuya Hikarie & Sky Lobby,⭐⭐⭐⭐ מומלץ,"2 Chome-21-1 Shibuya, Shibuya City, Tokyo 150-8510, Japan",הכל (מקורה),"מתחם היקארי:
• עלייה לקומה ה-11 ללובי השמיים החינמי לתצפת פנורמית על צומת שיבויה.","הליכה דרך המעברים המקורים ממעבר החצייה אל מתחם תחנת שיבויה.
[יציאה מומלצת: תחנת Shibuya יציאה B5/B6 מחוברת ישירות להיקארי]",טוקיו - שיבויה,15:00 - 16:00,שעה,,חינם,**🚶‍♂️ אין צורך להזמין מראש. לובי השמיים חינמי.**,https://www.hikarie.jp/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=2+Chome-2-1+Dogenzaka+Shibuya+City+Tokyo&destination=2+Chome-21-1+Shibuya+Shibuya+City+Tokyo,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ אין דרישות מיוחדות
🏙️,06 (ראשון),18/10/2026,SHIBUYA SKY,⭐⭐⭐⭐⭐ חובה,"2 Chome-24-12 Shibuya, Shibuya City, Tokyo 150-6145, Japan",🌃 לילה / ☀️ שמש (ראות טובה),"SHIBUYA SKY:
• התצפית הפתוחה הפופולרית בטוקיו בקומה ה-47! תזמון מדויק לשקיעה.

💡 Plan B גשם/ערפל:
אם הגג הפתוח נסגר עקב גשם, התצפית מתבצעת מהקומה המקורה בבטחה.","כניסה ייעודית מקומת הקרקע של מגדל Shibuya Scramble Square קומה 14.
[יציאה מומלצת: תחנת Shibuya יציאה B6]",טוקיו - שיבויה,16:15 - 18:15 (שקיעה),שעתיים,,"60 ₪ (~3,200 ¥)",**🚨 חובה להזמין מראש: 4 שבועות מראש ב-Klook (על הדקה עם פתיחת המערכת) להבטחת שקיעה!**,https://www.klook.com/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=2+Chome-21-1+Shibuya+Shibuya+City+Tokyo&destination=2+Chome-24-12+Shibuya+Shibuya+City+Tokyo,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ שובר QR זמין | ✓ סוודר/ג'קט קל (קריר בחוץ)
🛒,06 (ראשון),18/10/2026,MEGA Don Quijote Shibuya,⭐⭐⭐⭐⭐ חובה,"28-6 Udagawacho, Shibuya City, Tokyo 150-0042, Japan",הכל (מקורה),"קניות ובילוי לילי בשיבויה:
• סניף הדגל העצום של דון קיחוטה (פתוח 24/7). מקום מושלם להשלמת גאדג'טים ומזכרות.

[מיקום Coin Locker: זמין בתחנת שיבויה].",הליכה קצרה של 6 דקות ממתחם התצפית אל לב מדרחוב הקניות של שיבויה.,טוקיו - שיבויה,18:30 - 20:00,שעה וחצי,,לפי קנייה,**🚶‍♂️ הצג ברקוד הנחה מטלפון + דרכון פיזי בקופה.**,https://www.donki.com/en/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=2+Chome-24-12+Shibuya+Shibuya+City+Tokyo&destination=28-6+Udagawacho+Shibuya+City+Tokyo,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ דרכון פיזי (חובה) | ✓ תיק מרווח (או קונים שקית שם)
🏠,06 (ראשון),18/10/2026,🏠 Casa Central (Tokyo),⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),חזרה לדירה באומורי ללינה רגועה.,"מתחנת שיבויה קח קו JR Saikyo Line או 🟢 JR Yamanote לשינגאווה, והחלף לקו Keihin-Tohoku.
[יציאה מומלצת: North Exit]",טוקיו - אומורי,20:45 - 07:30,לינה,,שולם,**✅ כבר הוזמן קבוע.**,https://www.booking.com/,≈ 40 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=28-6+Udagawacho+Shibuya+City+Tokyo&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ סיום יום
🦉,07 (שני),19/10/2026,Animate Ikebukuro Flagship Store,⭐⭐⭐⭐⭐ חובה,"1 Chome-20-7 Higashiikebukuro, Toshima City, Tokyo 170-0013, Japan",הכל (מקורה),"חנות האנימה, המנגה והמרצ'נדייז הגדולה בעולם:
• 10 קומות מלאות בציוד פופ, גאדג'טים ותערוכות.

[רמת עומס יומית: 🟡 בינוני].","מתחנת Omori קח קו JR Keihin-Tohoku לתחנת Shinagawa והחלף לקו 🟢 JR Yamanote לתחנת Ikebukuro.
[יציאה מומלצת: East Exit]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - איקבוקורו,09:30 - 11:30,שעתיים,,חינם,**🚶‍♂️ אין צורך להזמין מראש: כניסה חופשית לכל הקומות.**,https://www.animate.co.jp/,≈ 50 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=Animate+Ikebukuro,,⚠️ שירותים,✓ כרטיס IC לתחבורה
🧸,07 (שני),19/10/2026,Gashapon Department Store Ikebukuro,⭐⭐⭐⭐ מומלץ,"3 Chome-1-1 Higashiikebukuro, Toshima City, Tokyo 170-8630, Japan",הכל (מקורה),"חנות הגשפון הרשמית:
• הגדולה בעולם של בנדאי נאמקו, עם מעל 3,000 מכונות קפסולה בתוך Sunshine City.",הליכה קצרה מכלבו Animate אל תוך קניון סאנשיין סיטי (Sunshine City) קומה 3.,טוקיו - איקבוקורו,11:30 - 12:15,45 דקות,,לפי קנייה,**🚶‍♂️ תשלום במקום: המכונות מופעלות עם מטבעות 100 ין.**,https://bandainamco-am.co.jp/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Animate+Ikebukuro&destination=Sunshine+City+Ikebukuro,,⚠️ שירותים,✓ שטרות של 1000¥ לפריטה למטבעות
🕹️,07 (שני),19/10/2026,Namco Namjatown,⭐⭐⭐ אם יש זמן,"3 Chome-1-1 Higashiikebukuro, Toshima City, Tokyo 170-8630, Japan",הכל (מקורה),"פארק שעשועים מקורה וארקייד נוסטלגי (Namco):
• מתחם מעוצב וממוזג, מעולה לגיימינג קליל.

💡 Plan B גשם:
מתחם סגור ומרווח, מושלם למזג אוויר סוער.","נמצא באותו מתחם פנימי של קניון Sunshine City, מרחק הליכה קצר ביותר.",טוקיו - איקבוקורו,12:15 - 13:15,שעה,,לפי קנייה,**🚶‍♂️ תשלום במקום: במכונות/משחקים.**,https://bandainamco-am.co.jp/tp/namja/,≈ 5 דקות הליכה (באותו קניון),https://www.google.com/maps/dir/?api=1&origin=Sunshine+City+Ikebukuro&destination=Namjatown+Ikebukuro,,⚠️ שירותים,✓ ארנק נגיש
🍿,07 (שני),19/10/2026,Grand Cinema Sunshine Ikebukuro,⭐⭐⭐ אם יש זמן,"1 Chome-30-3 Higashiikebukuro, Toshima City, Tokyo 170-0013, Japan",הכל (מקורה),"קומפלקס קולנוע עתידני (IMAX):
• תצפית אדריכלית מדהימה (חינם).
• צפייה בסרט IMAX (בתשלום, דורש כרטיס).",הליכה קצרה של 5 דקות בתוך מתחם הרחובות של איקבוקורו מזרח.,טוקיו - איקבוקורו,13:15 - 13:45,30 דקות,,משתנה,**🚨 חובה להזמין מראש לסרט IMAX באתר! (לתצפית - 🚶‍♂️ פתוח).**,https://www.cinemasunshine.co.jp/theater/gdcs/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Namjatown+Ikebukuro&destination=Grand+Cinema+Sunshine+Ikebukuro,,⚠️ שירותים,✓ שובר הזמנה במידה ויש סרט
🚉,07 (שני),19/10/2026,Korakuen / Suidōbashi Station,⭐⭐⭐⭐⭐ חובה,"1 Chome-3-61 Koraku, Bunkyo City, Tokyo 112-0004, Japan",הכל,"תחנת מעבר מהירה ל-Tokyo Dome City:
• קישור אל מתחם טוקיו דום לעלייה לרכבת ההרים המטורפת של העיר.","קו תחתית ישיר (Tokyo Metro Marunouchi Line) מתחנת Ikebukuro לתחנת Korakuen.
[יציאה מומלצת: יציאה 2]
[הנחיית רכבת: ✅ כרטיס IC].",טוקיו - דום סיטי,14:15 - 14:30,15 דקות,,חינם,**ניווט מהיר בלבד.**,,≈ 20 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Grand+Cinema+Sunshine+Ikebukuro&destination=Korakuen+Station+Tokyo,,⚠️ לוקרים | ⚠️ שירותים,✓ כרטיס IC
🎢,07 (שני),19/10/2026,Thunder Dolphin,⭐⭐⭐⭐⭐ חובה,"1 Chome-3-61 Koraku, Bunkyo City, Tokyo 112-0004, Japan",☀️ שמש / ☁️ מעונן (ללא גשם),"רכבת ההרים האגדית Thunder Dolphin:
• עוברת במהירות מטורפת דרך חור מובנה בתוך בניין ודרך מרכז גלגל ענק!

💡 Plan B גשם/רוח כבדה:
במקרה של גשם שוטף הרכבת נסגרת זמנית - הגיבוי הוא כניסה למשחקי הוידאו במתחם המקורה LaQua.","הליכה קצרה של 2 דקות מחוץ ליציאת תחנת Korakuen אל תוך פארק השעשועים.",טוקיו - דום סיטי,14:30 - 16:00,שעה וחצי (כולל תור),,"36 ₪ (~1,900 ¥)","**🚶‍♂️ תשלום במקום: בקופות האטרקציה, אין צורך בהזמנה מראש.**",https://www.tokyo-dome.co.jp/en/tourists/attractions/,≈ 10 דקות הליכה מתחנת רכבת,https://www.google.com/maps/dir/?api=1&origin=Korakuen+Station+Tokyo&destination=Thunder+Dolphin+Tokyo,,⚠️ שירותים,✓ בגדים מתאימים וכיסים נסגרים בריצ'רץ' (לאקסטרים)
🏮,07 (שני),19/10/2026,Omoide Yokocho & Kabukicho,⭐⭐⭐⭐⭐ חובה,"1 Chome-2 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan",🌃 לילה,"שינג'וקו סייברפאנק בלילה:
• סיור בסמטת Omoide Yokocho, ומעבר אל קבוקיצ'ו (Kabukicho) לצפייה בשלט גודזילה הענק.

⚠️ אזהרה בטיחותית: לא ללכת בשום אופן אחרי יחצני רחוב המציעים מועדונים!","נסיעה בקו הרכבת JR 🔵 Chuo Line (מתחנת Suidobashi) ישירות לשינג'וקו (14 דקות).
[יציאה מומלצת: Shinjuku Station - East Exit]",טוקיו - שינג'וקו,16:30 - 19:30,3 שעות,,חינם,**🚶‍♂️ אין צורך בהזמנה מראש: סיור רחוב חופשי.**,https://www.japan-guide.com/e/e3011.html,≈ 25 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Thunder+Dolphin+Tokyo&destination=Omoide+Yokocho,,⚠️ שירותים,✓ עירנות (אזור חיי לילה)
🧳,07 (שני),19/10/2026,משלוח מזוודה ל-Kyoto,⭐⭐⭐⭐⭐ חובה,"4 Chome-25-3 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"לוגיסטיקה חובה (Ta-Q-Bin): שילוח המזוודה הגדולה לקיוטו.
מהלך חובה כדי לנסוע קלים להאקונה ונאגויה!

📦 פרטי המשלוח למילוי בטופס הוורוד (Ta-Q-Bin):
• שם המלון: Hostel Gion SORA
• כתובת: 427 Rinkacho, Higashiyama Ward, Kyoto
• מיקוד: 605-0062

🚨 חובה להוציא: סוללות ליתיום ומטענים ניידים (Power banks)! שמור את קבלת המעקב (Tracking Slip).","ביצוע השילוח בדלפק חנות הנוחות 7-Eleven שנמצאת בדיוק באותו הבלוק של הדירה (מרחק דקת הליכה).
[הנחיית שילוח: ❌ כרטיס IC לא תופס, תשלום באשראי או מזומן].",טוקיו - אומורי,20:30 - 21:00,30 דקות,,"60 ₪ (~3,200 ¥)",**🚶‍♂️ אין צורך להזמין מראש: מילוי טופס שילוח ותשלום במקום.**,https://www.kuronekoyamato.co.jp/ytc/en/,≈ 45 דקות ברכבת חזרה לאומורי,https://www.google.com/maps/dir/?api=1&origin=Shinjuku+Station&destination=Omori+Station+Tokyo,,⚠️ שירותים,✓ סוללות ניידות **מחוץ** למזוודה | ✓ כתובת ההוסטל מודפסת/בטלפון | ✓ כסף לתשלום
🛒,07 (שני),19/10/2026,LIFE Omori Store,⭐⭐⭐⭐ מומלץ,"2 Chome-2-20 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"סופרמרקט ענק (LIFE):
• בלוק זמן להצטיידות קריטית במצרכים כשרים, פירות, מים וחטיפים לקראת היציאה מהעיר וההגעה להאקונה מחר בבוקר.","מיקום צמוד לחלוטין לתחנת Omori ולדירה שלך, מרחק הליכה של 3 דקות.",טוקיו - אומורי,21:00 - 21:45,45 דקות,,לפי קנייה,**🚶‍♂️ אין צורך להזמין מראש: קניות חופשי.**,http://www.lifecorp.jp/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Omori+Station+Tokyo&destination=Life+Omori,,⚠️ שירותים,✓ שקית רב פעמית לקניות
🏠,07 (שני),19/10/2026,🏠 Casa Central (Tokyo),⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"לילה אחרון בדירת טוקיו (קאזה סנטרל):
• אריזת תיק הגב הקטן שישמש אותך ביומיים הקרובים להאקונה ונאגויה.
[חלון זמן צ'ק-אאוט עצמי מחר: 06:00 - 11:00].",הליכה קצרה מהסופרמרקט בחזרה לדירה.,טוקיו - אומורי,22:00 - 07:30,לינה,,שולם,**✅ כבר הוזמן מראש (צ'ק-אאוט מלא מחר בבוקר).**,https://www.booking.com/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Life+Omori&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ מזוודה שנארזה ונשלחה (תישאר רק עם תיק גב קטן)
🚄,08 (שלישי),20/10/2026,Odawara Station (Hakone Gateway),⭐⭐⭐⭐⭐ חובה,"1 Chome-1-9 Shiroyama, Odawara, Kanagawa 250-0045, Japan",הכל,"עזיבת טוקיו דרומה והגעה לתחנת אודווארה - שער הכניסה המרכזי להאקונה.

[רמת עומס יומית: 🟡 בינוני - מעבר עם תיק גב].
[מיקום Coin Locker: רציף מרכזי קומה 2].","מתחנת Omori קח קו JR Keihin-Tohoku דרומה ל-Yokohama, והחלף לקו המהיר JR Tokaido Line לתחנת Odawara.
[יציאה מומלצת: East Exit]",טוקיו > האקונה,08:30 - 10:30,שעתיים,,"35 ₪ (~1,900 ¥)",**🚶‍♂️ תשלום במקום: באמצעות כרטיס IC בשערי התחנה.**,https://www.hakonenavi.jp/international/en/,≈ שעה ו-15 דקות ברכבות,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=Odawara+Station,,⚠️ לוקרים | ⚠️ שירותים,✓ תיק גב קטן בלבד | ✓ כרטיס IC טעון היטב
♨️,08 (שלישי),20/10/2026,Tenzan Onsen (Tenzan Tohji-kyo),⭐⭐⭐⭐⭐ חובה,"208 Yumotochaya, Hakone, Ashigarashimo District, Kanagawa 250-0312, Japan",הכל (מושלם גם בגשם קל),"אונסן טנזאן האותנטי:
• חוויית טבילה מסורתית במעיינות חמים טבעיים בלב היער.
(מותר לבעלי קעקועים קטנים/מוסתרים, חלוקה מגדרית מלאה).","מתחנת Odawara קח רכבת Hakone Tozan לתחנת Hakone-Yumoto, ומשם אוטובוס מקומי בקו K.",האקונה - יומוטו,10:45 - 13:00,שעתיים ורבע,,"35 ₪ (~1,900 ¥)",**🚶‍♂️ תשלום במקום: בקופות במזומן בלבד! (אין הזמנה מראש).**,https://tenzan.jp/english/,≈ 30 דקות (רכבת + אוטובוס),https://www.google.com/maps/dir/?api=1&origin=Odawara+Station&destination=Tenzan+Onsen+Hakone,,⚠️ שירותים,✓ מגבת גוף קטנה (אם יש) | ✓ מזומן (חובה!)
🚆,08 (שלישי),20/10/2026,Hakone Tozan Railway,⭐⭐⭐⭐ מומלץ,"707-1 Yumoto, Hakone, Ashigarashimo District, Kanagawa 250-0311, Japan",הכל,"רכבת ההרים של האקונה (Hakone Tozan):
• נסיעה ברכבת קטנה המטפסת על צלע ההר התלול זיג-זג בין יערות עבותים.","חזרה קצרה באוטובוס מתחנת Tenzan אל תחנת Hakone-Yumoto ועליה לרכבת ההרים.
[הנחיית נסיעה: ✅ כרטיס IC]",האקונה - ערים,13:00 - 13:45,45 דקות,,"11 ₪ (~600 ¥)",**🚶‍♂️ תשלום במקום: כרטיס IC.**,https://www.hakonenavi.jp/international/en/,≈ 15 דקות באוטובוס,https://www.google.com/maps/dir/?api=1&origin=Tenzan+Onsen+Hakone&destination=Hakone-Yumoto+Station,,⚠️ שירותים,✓ כרטיס IC
🗿,08 (שלישי),20/10/2026,Hakone Open-Air Museum,⭐⭐⭐⭐ מומלץ,"1121 Ninotaira, Hakone, Ashigarashimo District, Kanagawa 250-0407, Japan",☀️ שמש / ☁️ מעונן,"המוזיאון הפתוח בהאקונה (נקי מסמלים דתיים):
• פארק מדהים וירוק רחב ידיים המשלב טבע הררי עם פסלי ענק.

💡 Plan B גשם:
אם יורד גשם כבד, דלג על חלק מהשבילים החיצוניים וכנס ישירות לביתן פיקאסו המקורה.","ירידה ברכבת ההרים בתחנת Chokokunomori (תחנה אחת לפני גורה), והליכה קצרה.
[הנחיית רכבת: ✅ כרטיס IC]",האקונה - מרכז (גורה),13:45 - 16:15,שעתיים וחצי,,"40 ₪ (~2,150 ¥)",**🚨 מומלץ להזמין מראש: שבוע מראש ב-Klook לדילוג על התור.**,https://www.klook.com/,≈ 40 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Hakone-Yumoto+Station&destination=Hakone+Open-Air+Museum,,⚠️ שירותים,✓ נעלי הליכה נוחות
🚠,08 (שלישי),20/10/2026,Hakone Ropeway / Bus to Togendai,⭐⭐⭐⭐⭐ חובה,"1300 Gora, Hakone, Ashigarashimo District, Kanagawa 250-0408, Japan",☀️ שמש (ראות טובה),"רכבל האקונה:
• נסיעה ברכבל תלוי המציע תצפית פנורמית על העמק הגיאותרמי והר פוג'י.

💡 Plan B ערפל כבד/רוח:
אם הרכבל מושבת, קח אוטובוס מקומי (קו H/T) מתחנת גורה ישירות למסוף Togendai.","הליכה מתחנת גורה לתחנת הרכבל Sounzan, ועליה לרכבל לכיוון Togendai.
[הנחיית רכבל: ❌ כרטיס IC לא תקף ברכבל, רכוש כרטיס בקופה].",האקונה - טוגנדאי,16:15 - 17:00,45 דקות,,"30 ₪ (~1,600 ¥)",**🚶‍♂️ תשלום במקום: קופות הרכבל בתחנת המוצא.**,https://www.hakonenavi.jp/international/en/,≈ 45 דקות נסיעה ברכבל,https://www.google.com/maps/dir/?api=1&origin=Hakone+Open-Air+Museum&destination=Togendai+Station+Hakone,,⚠️ שירותים,✓ מצלמה בשלוף לנוף לפוג'י
🏨,08 (שלישי),20/10/2026,🏨 Chojuyu Hakone (Ryokan),⭐⭐⭐⭐⭐ חובה,"1245-725 Sengokuhara, Hakone, Kanagawa 250-0631, Japan",הכל (מקורה),"לינה בריוקאן מסורתי (Chojuyu):
• חוויית לינה אותנטית על מחצלות טאטאמי ומרחצאות.

🚨 אזהרת תזונה: חובה להצטייד בארוחת ערב כשרה מראש, בריוקאן לא מוגש אוכל כשר!","ממסוף הרכבל Togendai קח אוטובוס מקומי בקו T צפונה ישירות לרובע Sengokuhara.
[הנחיית אוטובוס: ✅ כרטיס IC].",האקונה - סנגוקוהרה,17:15 ואילך,לינה,,שולם,**✅ כבר הוזמן. צ'ק-אין מסתיים ב-19:00 בדיוק!**,https://www.booking.com/,≈ 20 דקות באוטובוס,https://www.google.com/maps/dir/?api=1&origin=Togendai+Station+Hakone&destination=1245-725+Sengokuhara+Hakone,,⚠️ שירותים,✓ אוכל מוכן מראש (הריוקאן לא מגיש אוכל כשר)
🚌,09 (רביעי),21/10/2026,Hakone Tozan Bus,⭐⭐⭐⭐⭐ חובה,"164 Moto-Hakone, Hakone, Ashigarashimo District, Kanagawa 250-0522, Japan",הכל,"עזיבת הריוקאן בבוקר ונסיעה חזרה דרומה לכיוון אגם אשי.

[רמת עומס יומית: 🔴 קשה - יום מעבר ארוך ודינמי אל נאגויה].","תחנת אוטובוס מחוץ לפתח הריוקאן, עליה על קו האוטובוס המקומי T ישירות אל מסוף האוטובוסים ב-Moto-Hakone.",האקונה,09:00 - 09:15,15 דקות,,"10 ₪ (~550 ¥)",**🚶‍♂️ תשלום במקום (באמצעות כרטיס IC).**,https://www.hakonenavi.jp/international/en/,≈ 40 דקות באוטובוס,https://www.google.com/maps/dir/?api=1&origin=1245-725+Sengokuhara+Hakone&destination=Togendai+Port,,⚠️ שירותים,✓ ארגון התיק הקטן מראש לעזיבה מהירה
⛴️,09 (רביעי),21/10/2026,Hakone Sightseeing Cruise,⭐⭐⭐⭐ מומלץ,"164 Moto-Hakone, Hakone, Ashigarashimo District, Kanagawa 250-0522, Japan",☀️ שמש / ☁️ מעונן,"שייט בספינת הפיראטים באגם אשי:
• הפלגה נופית המציעה מבט פנורמי על ההרים והר פוג'י באופק.

💡 Plan B ערפל כבד:
אם השייט מושבת, דלג על האוניה וקח אוטובוס ישיר קו H מסביב לאגם.","הספינה יוצאת ישירות ממזח Moto-Hakone Pier לכיוון הצד השני.
[הנחיית שייט: ❌ כרטיס IC לא תקף, רכוש כרטיס בקופה].",האקונה - אגם אשי,09:30 - 10:45,שעה ורבע,,"30 ₪ (~1,600 ¥)",**🚨 מומלץ להזמין מראש: שבועיים מראש ב-Klook.**,https://www.klook.com/,הגעה ישירה לאותו מתחם (0 דקות),https://www.google.com/maps/dir/?api=1&origin=Togendai+Port&destination=Moto-Hakone+Port,🚨 גשם ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ שובר Klook זמין באפליקציה
🚌,09 (רביעי),21/10/2026,Tokai Bus to Mishima,⭐⭐⭐⭐⭐ חובה,"6-40 Moto-Hakone, Hakone, Ashigarashimo District, Kanagawa 250-0522, Japan",הכל,"נסיעה בינארונית מהאקונה:
• אוטובוס מהיר מאזור אגם אשי לחבל מישימה לטובת מעבר לתחנת הרכבת המהירה.","האוטובוס ממתין במסוף האוטובוסים של Tokai Bus ב-Moto-Hakone.
[הנחיית אוטובוס: ✅ כרטיס IC תופס].",האקונה > מישימה,11:00 - 11:30,30 דקות,,"25 ₪ (~1,350 ¥)",**🚶‍♂️ תשלום במקום: בהצמדת כרטיס IC ביציאה מהאוטובוס.**,https://www.hakonenavi.jp/international/en/,≈ 40 דקות באוטובוס,https://www.google.com/maps/dir/?api=1&origin=Moto-Hakone+Port&destination=Mishima+Skywalk,,⚠️ שירותים,✓ כרטיס IC
