אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש,פתרון תזונה יומי,שילוב חלבון,רמת עומס מובנית,תזכורת / פעולה נדרשת,Plan B — גשם/סגירה/מלא,Ziploc/T-Shirt Bag — שימוש מומלץ,תקציב קניות אופציונלי (₪),סטטוס QA
🪄,טוקיו (חלופה),14-19/10,Warner Bros. Studio Tour - Harry Potter,אטרקציה | סיור סטודיו | תרבות פופ,⭐⭐⭐⭐⭐ חובה,"Nerima City, Tokyo",הכל (מקורה),"הסטודיו הענק של הארי פוטר:
• סיור אפקטים חזותיים מורכבים, אנימטרוניקה ורובוטיקה.",קו Oedo או Seibu Ikebukuro לתחנת Toshimaen.,טוקיו - נרימה,09:00 - 14:00,4-5 שעות,שעות משתנות לפי היום,"160 ₪ (~8,600 ¥)",**🚨 חובה להזמין מראש: כ-6-8 שבועות מראש ב-Klook / באתר הרשמי (כרטיסים לזמן כניסה קבוע ואוזלים מהר בסוף השבוע).**,https://www.klook.com/,≈ 40 דקות משינג'וקו,https://www.google.com/maps/dir/?api=1&origin=Shinjuku+Station&destination=Warner+Bros+Studio+Tour+Tokyo,נמוך,⚠️ שירותים,✓ נעליים סופר נוחות (ההליכה בפנים שעות!) | ✓ סוללה ניידת,מסעדות נושא בתוך הסטודיו (כמו Butterbeer).,חטיף חלבון בתיק.,🟡 בינוני,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,מקורה לחלוטין וסגור.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🌊,מחוץ למסלול (חלופה),תלוי בזמן,Izu Peninsula,אטרקציה | טבע וצלילה,⭐⭐⭐ אם יש זמן,"Izu Peninsula, Shizuoka",☀️ שמש בלבד,אזור הצלילה המומלץ: חצי האי איזו (Izu Peninsula). מעולה לשילוב צלילות אם יש זמן פנוי במסלול.,רכבת מהירה (Odoriko) מטוקיו או שינקנסן לאטאמי (Atami).,מחוץ לטוקיו,08:00 - 17:00,יום שלם,דורש תכנון יום שלם,תלוי צלילה/תחבורה,**🚨 חובה להזמין מועדון צלילה מראש.**,https://www.japan-guide.com/e/e6310.html,≈ שעתיים נסיעה מטוקיו,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Station&destination=Izu+Peninsula,נמוך,⚠️ שירותים,✓ ציוד צלילה אישי / בגד ים,מסעדות מקומיות (פירות ים) או קומביני מראש.,חובה לאחר הצלילה להתאוששות השרירים.,🔴 גבוה,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,"צלילות עלולות להתבטל, בדוק עם המועדון.",חובה לארוז בגד ים רטוב וציוד צלילה בשקיות זיפלוק כדי לשמור על שאר התיק יבש.,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🎌,טוקיו (חלופה),בזמן התערוכה,Tokyo International Anime Fair,אטרקציה | כנס תרבות פופ,⭐⭐⭐⭐ מומלץ,"Tokyo Big Sight, Koto City",הכל (מקורה),יריד האנימה הבינלאומי של טוקיו - אטרקציית חובה במידה והתאריכים חופפים לתערוכה.,רכבת Yurikamome לתחנת Tokyo Big Sight.,טוקיו,10:00 - 17:00,4 שעות,מתקיים בתאריכים ספציפיים בלבד,"כ-60 ₪ (~3,000 ¥)",**🚨 חובה להזמין כרטיס מראש באתר הכנס.**,https://www.anime-japan.jp/en/,≈ 40 דקות מטוקיו,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Station&destination=Tokyo+Big+Sight,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ נעלי הליכה | ✓ תיק ריק למרצ'נדייז,דוכני מזון בתערוכה.,חטיף חלבון בתיק.,🔴 גבוה,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,מקורה (Tokyo Big Sight).,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🌃,טוקיו (חלופה),14-19/10,Ginza Night Walk,אטרקציה | נוף עירוני | חיי לילה,⭐⭐⭐ אם יש זמן,"Ginza, Chuo City, Tokyo",🌃 לילה / ראות טובה,טייל רגלית ברחובות גינזה המוארים (מבחוץ בלבד).,"רכבת תחתית לתחנת Ginza (קווים Ginza, Marunouchi, Hibiya).",טוקיו - גינזה,19:00 - 21:00,שעתיים,,חינם,**🚶‍♂️ אין צורך להזמין מראש.**,https://www.japan-guide.com/e/e3005.html,≈ 15 דקות,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Station&destination=Ginza+Station,נמוך,⚠️ שירותים,✓ מצלמה,המון מסעדות גורמה וקומביני באזור.,חטיף חלבון בתיק.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,ניתן להיכנס לחנויות הדגל ולבתי הכלבו הענקיים באזור.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; מתקנים: הונח 'שירותים'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🗻,פוג'י (חלופה),14-19/10,Arakurayama Sengen Park,פארק וטבע | נוף טבעי | תצפית,⭐⭐⭐⭐⭐ חובה,"Fujiyoshida, Yamanashi",☀️ שמש (ראות פוג'י),פארק אראקוראיאמה סנגן: הנוף האייקוני של הפגודה עם הר פוג'י ברקע. מצריך עלייה של כ-400 מדרגות.,נסיעה ברכבת מתחנת Kawaguchiko לתחנת Shimoyoshida והליכה רגלית.,פוג'י / חמשת האגמים,08:00 - 10:00,שעה וחצי,לבוא מוקדם בבוקר,חינם,**🚶‍♂️ כניסה חופשית לפארק.**,https://www.japan-guide.com/e/e6917.html,≈ 20 דקות מקוואגוצ'יקו,https://www.google.com/maps/dir/?api=1&origin=Kawaguchiko+Station&destination=Arakurayama+Sengen+Park,נמוך,⚠️ שירותים,✓ כושר לעליית מדרגות | ✓ מצלמה,קומביני לפני העלייה.,חטיף חלבון לאחר טיפוס המדרגות.,🟡 בינוני,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,אם פוג'י מוסתר לחלוטין הראות פחות שווה את המאמץ.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🏙️,טוקיו (חלופה),14-19/10,KITTE Observation Deck,אטרקציה | תצפית עירונית,⭐⭐⭐⭐ מומלץ,"Marunouchi, Chiyoda City",🌃 לילה,סיום הערב באוויר הפתוח במרפסת תצפית KITTE (קומה 6) מול הנוף של תחנת טוקיו המוארת.,צמוד לחלוטין ליציאה הדרומית (Marunouchi South Exit) של תחנת Tokyo.,טוקיו - מרכז,21:00 - 22:00,45 דקות,,חינם,**🚶‍♂️ כניסה חופשית לבניין ולמרפסת.**,https://marunouchi.jp-kitte.jp/gb/,≈ 2 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Station&destination=KITTE+Marunouchi,נמוך,⚠️ שירותים,✓ ז'קט (קריר במרפסת בחוץ),מתחם מסעדות עצום בקומות התחתונות.,חטיף חלבון בתיק.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,"המרפסת עשויה להיסגר, ניתן להשקיף מחלונות הקניון.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
♨️,האקונה (חלופה),20-21/10,Hakone Yuryo,ספא ומרחצאות | אונסן מסורתי,⭐⭐⭐⭐ מומלץ,"Tonosawa, Hakone",הכל,אונסן מסורתי (מעיין חם) ומעוצב בסגנון כפרי לטבילה מרגיעה בסיום היום. אפשרות לשכירת חדר פרטי.,שאטל חינמי שיוצא כל 15 דקות מתחנת הרכבת Hakone-Yumoto.,האקונה,16:00 - 18:00,שעתיים,אוסר קעקועים (באזור הציבורי),"כ-40 ₪ (~2,000 ¥)",**🚶‍♂️ תשלום בקבלה במקום.** (לחדר פרטי רצוי להזמין מראש).,https://www.hakoneyuryo.jp/english/,≈ 10 דקות בשאטל,https://www.google.com/maps/dir/?api=1&origin=Hakone-Yumoto+Station&destination=Hakone+Yuryo,נמוך,⚠️ שירותים,✓ מגבת אישית (או לשכור במקום),מסעדה במתחם האונסן.,שייק חלבון לאחר הטבילה.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,חוויה מעולה ומרגיעה גם בגשם.,ארוז את המגבת הלחה והבגדים בשקית זיפלוק לאחר הרחצה.,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🏞️,ביווה (חלופה),21-22/10,Lake Biwa,פארק וטבע | חוף אגם,⭐⭐⭐ אם יש זמן,"Otsu, Shiga",☀️ שמש / ☁️ מעונן,אגם ביווה (Lake Biwa): האגם הגדול ביפן. נסיעת בוקר קצרה לטיול פסטורלי ורגוע לחופי האגם.,רכבת JR Tokaido Line מאוסקה/קיוטו לתחנת Otsu או Zeze.,אזור קיוטו/אוסקה,08:00 - 10:30,שעתיים וחצי,,חינם (מלבד נסיעות),**🚶‍♂️ אזור פתוח.**,https://en.biwako-visitors.jp/,≈ 40 דקות מאוסקה,https://www.google.com/maps/dir/?api=1&origin=Osaka+Station&destination=Lake+Biwa,נמוך,⚠️ שירותים,✓ נעלי הליכה נוחות,בתי קפה לאורך החוף או סופרמרקט.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,מומלץ לדחות או ללכת לאטרקציות מקורות בקיוטו.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; מתקנים: הונח 'שירותים'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
💻,טוקיו (חלופה),14-19/10,Yodobashi Camera Multimedia Ueno,קניות | טכנולוגיה ואלקטרוניקה,⭐⭐⭐⭐ מומלץ,"4-9-14 Ueno, Taito City, Tokyo",הכל (מקורה),השלמות טכנולוגיה וגאדג'טים: • סניף ענק מול התחנה באואנו.,צמוד לתחנת Ueno (יציאה מרכזית).,טוקיו - אואנו,10:00 - 12:00,שעה,,"כ-185 ₪ (~10,000 ¥) תקציב מוערך",**🚶‍♂️ הגעה חופשית.**,https://www.yodobashi.com/ec/store/0013/,≈ דקת הליכה מתחנת אואנו,https://www.google.com/maps/dir/?api=1&origin=Ueno+Station&destination=Yodobashi+Camera+Ueno,נמוך,⚠️ שירותים,✓ כרטיס אשראי ודרכון,מסעדות באזור אואנו.,חטיף חלבון בתיק.,🟡 בינוני,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,מקורה לחלוטין.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
👾,טוקיו (חלופה),14-19/10,Akihabara Round 2,קניות | טכנולוגיה ואנימה,⭐⭐⭐⭐ מומלץ,"Akihabara, Tokyo",הכל (מקורה),סיבוב השלמות מהיר באקיהברה: • קפיצה קצרה של 2 תחנות מאואנו לרכיבי PC ומשחקי רטרו.,נסיעה קצרה בקו Yamanote מתחנת Ueno ל-Akihabara.,טוקיו - אקיהברה,10:00 - 13:00,שעתיים-שלוש,,חינם,🚶‍♂️ הגעה חופשית.,https://www.japan-guide.com/e/e3003.html,≈ 5 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Ueno+Station&destination=Akihabara+Station,נמוך,⚠️ שירותים,✓ תיק פנוי להשלמות,המון קומביני ואוכל רחוב באזור.,חטיף חלבון בתיק.,🟡 בינוני,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,אפשר להסתובב בין החנויות המקורות.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🛒,כללי,כל הטיול,Aeon Mall / Seijo Ishii,קניות | סופרמרקט וכלבו,⭐⭐⭐⭐ מומלץ,בכל עיר,הכל (מקורה),איפה קונים? חפש בגוגל מפות את הרשתות הגדולות בכל עיר: Aeon Mall (זולה) או Seijo Ishii (פרימיום).,זמין ברחבי יפן.,קניות / סופרמרקט,18:00 - 20:00,שעה,,לפי צריכה,הגעה חופשית.,Aeon / Seijo Ishii,≈ לפי מיקום,https://www.google.com/maps/search/?api=1&query=Aeon+Mall,נמוך,⚠️ שירותים,✓ שקיות רב פעמיות,קניית מצרכים לבישול ארוחות עצמאיות או קניית אוכל מוכן.,"קניית טונה, ביצים, ואבקות חלבון מקומיות במידת הצורך.",🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,סופרמרקטים מקורים ופתוחים עד מאוחר.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🏯,קיוטו (חלופה),23-25/10,Uzumasa Kyoto Village,אטרקציה | פארק תרבות מסורתית,⭐⭐⭐ אם יש זמן,"Uzumasa, Kyoto",☀️ שמש / ☁️ מעונן,"מתחם בידור ותרבות חדש (פיתוח של אזור טואי) המשלב רחובות מסורתיים, קניות, אוכל וחוויות תרבותיות בהשראת קיוטו העתיקה.",רכבת לתחנת Uzumasa או Uzumasa-Koryuji.,קיוטו - מערב,10:00 - 14:00,3-4 שעות,יעד עתידי / קונספט (פיתוח מחדש של אזור טואי),תלוי בפעילות,**🚶‍♂️ אין צורך להזמין כרגע (פרויקט פיתוח).**,https://toeieigamura.com/,≈ 30 דקות ממרכז קיוטו,https://www.google.com/maps/search/?api=1&query=Uzumasa+Kyoto,נמוך,⚠️ שירותים,✓ מצלמה | ✓ נעלי הליכה נוחות,מסעדות נושא בתוך הכפר.,חטיף חלבון בתיק.,🟡 בינוני,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,"חלקים מקורים וחלקים פתוחים, להביא מטרייה.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🌳,פוקואוקה (חלופה),תלוי בזמן,The Gateway Park: Hakata Meiji,פארק וטבע | אדריכלות עירונית,⭐⭐⭐ אם יש זמן,"Hakata Station Area, Fukuoka",☀️ שמש / ☁️ מעונן,"קומפלקס לייף-סטייל ענק וחדש ליד תחנת האקטה. כולל ריאות ירוקות על הגגות, אזורי קניות, מסעדות וארכיטקטורה המשלבת טבע בתוך העיר.",הליכה מתחנת Hakata.,פוקואוקה - האקטה,10:00 - 13:00,2-3 שעות,פיתוח עתידי/הדמיה,חינם (קניות ואוכל בתשלום),**🚶‍♂️ אין צורך להזמין מראש.**,-,≈ לפי מיקום עדכני,https://www.google.com/maps/search/?api=1&query=Hakata+Station+Fukuoka,נמוך,⚠️ שירותים,✓ זמן פנוי בפוקואוקה,מתחם מסעדות מקיף במקום.,חטיף חלבון בתיק.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,הקומפלקס מקורה בחלקו הגדול.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🏙️,טוקיו (חלופה),14-19/10,Tokyo Dream Park,אטרקציה | פיתוח עירוני עתידני,⭐⭐⭐ אם יש זמן,Tokyo,הכל (מקורה),"קונספט של פיתוח עירוני עתידני המשלב שימושים מעורבים (מסחר, בידור ופנאי) עם ארכיטקטורה מודרנית ומרחבים ירוקים.",תלוי במיקום הסופי (קונספט עתידי).,טוקיו,10:00 - 13:00,2-3 שעות,יעד עתידי / קונספט תכנוני,תלוי בפעילות,**🚶‍♂️ לא רלוונטי כרגע (בפיתוח).**,-,≈ לפי מיקום עדכני,https://www.google.com/maps/search/?api=1&query=Tokyo,נמוך,⚠️ שירותים,✓ מעקב אחר פתיחת הפרויקט,מסעדות שיוקמו בפרויקט.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,פרויקט מעורב שיציע אפשרויות מקורות.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🏛️,טוקיו (חלופה),14-19/10,Edo-Tokyo Museum,מוזיאון | היסטוריה ותרבות,⭐⭐⭐⭐ מומלץ,"Sumida City, Tokyo",הכל (מקורה),מוזיאון אדו-טוקיו ההיסטורי לאחר שיפוץ מקיף (פתיחה מחודשת). חוקר את תרבות טוקיו המודרנית ואת תקופת אדו בעזרת דגמים עצומים ואותנטיים.,הליכה של 3 דקות מתחנת Ryogoku (קו Chuo-Sobu או Oedo).,טוקיו - סומידה,10:00 - 13:00,3 שעות,יש לוודא פתיחה סופית לקהל הרחב,כ-16 ₪ (~600 ¥),**🚶‍♂️ מומלץ לבדוק אפשרות רכישה מראש באתר.**,https://www.edo-tokyo-museum.or.jp/en/,≈ 15 דקות מאקיהברה,https://www.google.com/maps/search/?api=1&query=Edo-Tokyo+Museum,נמוך,⚠️ שירותים | ⚠️ לוקרים,✓ וידוא שהמוזיאון נפתח לקהל,מסעדות באזור המוזיאון (Ryogoku).,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,יעד מקורה לחלוטין ומושלם.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🎢,טוקיו (חלופה),14-19/10,PokéPark KANTO,אטרקציה | פארק שעשועים | תרבות פופ,⭐⭐⭐⭐⭐ חובה,"Yomiuriland, Inagi, Tokyo",☀️ שמש / ☁️ מעונן,"הפארק הראשון בעולם של פוקימון במציאות (אמור להיפתח ב-2026)!
• יער פוקימונים ענק (Pokemon Forest) והעתק של העיר (Sedge Town).","רכבת Keio Line משינג'וקו לתחנת Keio-Yomiuri-Land, ומשם ברכבל (Gondola) או אוטובוס.",טוקיו - פרברים,10:00 - 16:00,חצי יום,פתיחה צפויה ב-2026 (יש לעקוב אחרי כרטיסים),"כ-200 ₪ (~11,000 ¥)",**🚨 חובה לעקוב ולהזמין חודשים מראש באתר!**,https://www.pokepark-kanto.co.jp/ppark/top/index?languageKind=en_US,≈ 35 דקות משינג'וקו,https://www.google.com/maps/dir/?api=1&origin=Shinjuku+Station&destination=Yomiuriland,נמוך,⚠️ שירותים,✓ סוללה ניידת לאפליקציה הייעודית,מסעדות ודוכני נושא של פוקימון בפארק.,חטיף חלבון בתיק כדי לא לבזבז זמן בתורים לאוכל.,🔴 גבוה,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,"חלק מהמתקנים עלולים להיות חיצוניים, מומלץ להתעדכן עם פתיחת הפארק.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🐈,טוקיו (חלופה),14-19/10,Cat Street,קניות | אופנה ואווירה,⭐⭐⭐⭐ מומלץ,"Shibuya/Harajuku, Tokyo",☀️ שמש / ☁️ מעונן,רחוב חתול (Cat Street): • מדרחוב אופנה אלטרנטיבי ובוטיקים בין שיבויה להרג'וקו. חלופה שקטה ומיוחדת לרחוב טקשיטה העמוס.,הליכה מתחנת Shibuya או Harajuku.,טוקיו - הרג'וקו/שיבויה,15:00 - 17:00,שעתיים,,חינם,🚶‍♂️ אין צורך להזמין מראש.,https://www.japan-guide.com/e/e3006.html,≈ לפי מיקום,https://www.google.com/maps/search/?api=1&query=Cat+Street+Tokyo,נמוך,⚠️ שירותים,✓ ארנק לקניות | ✓ נעלי הליכה,בתי קפה מיוחדים הפזורים לאורך הרחוב.,חטיף חלבון בתיק.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,"הרחוב פתוח, כדאי להצטייד במטרייה או לעבור לקניון צמוד.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; מתקנים: הונח 'שירותים'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
